ID,TRIAL_INDEX,con,pic_percent,TransformedDwellPic,Q,acc,List
P109,50,0,0.15925834970530453,0.41050438617839,Q71,1,List3
P109,51,0,0.0660571328579553,0.25993301966784743,Q73,0,List3
P109,51,0,0.0660571328579553,0.25993301966784743,Q74,1,List3
P109,51,0,0.0660571328579553,0.25993301966784743,Q72,1,List3
P109,52,0,0.11356920373772063,0.3437290050771217,Q75,0,List3
P109,53,0,0.01837504285224546,0.13597318272643133,Q76,1,List3
P109,54,0,0.13953678029685207,0.38282905234533826,Q78,1,List3
P109,54,0,0.13953678029685207,0.38282905234533826,Q77,0,List3
P109,55,0,0.18123044838373306,0.4397482676607812,Q79,1,List3
P109,56,0,0.08854924793789423,0.30214870237364166,Q80,1,List3
P109,57,0,0.17923505169546672,0.4371526625846007,Q81,0,List3
P109,57,0,0.17923505169546672,0.4371526625846007,Q82,0,List3
P109,58,0,0.0744899060779445,0.2764356787341058,Q83,0,List3
P109,59,0,0.1992422262869088,0.4626997174180184,Q84,0,List3
P109,6,1,0.3088354342546548,0.5892403535774717,Q10,1,List3
P109,60,0,0.1602835115642875,0.4119033781383672,Q85,0,List3
P109,61,0,0.023476182345910875,0.15382531715773334,Q86,0,List3
P109,62,0,0.22206334763204644,0.49069157929323787,Q88,1,List3
P109,62,0,0.22206334763204644,0.49069157929323787,Q87,1,List3
P109,63,0,0.16670865877215083,0.4205906707668813,Q89,0,List3
P109,63,0,0.16670865877215083,0.4205906707668813,Q90,1,List3
P109,7,1,0.20353870458135861,0.4680564684237443,Q11,1,List3
P109,8,1,0.28863245412844035,0.5671675511382113,Q12,1,List3
P109,8,1,0.28863245412844035,0.5671675511382113,Q13,0,List3
P109,9,1,0.16445623342175067,0.4175608019460617,Q14,1,List3
P109,9,1,0.16445623342175067,0.4175608019460617,Q15,0,List3
P110,22,1,0.049838295049340745,0.22514214467131954,Q32,1,List4
P110,22,1,0.049838295049340745,0.22514214467131954,Q31,1,List4
P110,23,1,0.2506726041376751,0.5243750843269896,Q33,1,List4
P110,23,1,0.2506726041376751,0.5243750843269896,Q34,1,List4
P110,24,1,0.24490311178438426,0.517693122861559,Q35,1,List4
P110,25,1,0.17401118853665717,0.4303033118236614,Q36,1,List4
P110,26,1,0.42897968641384104,0.7141368430425108,Q37,1,List4
P110,26,1,0.42897968641384104,0.7141368430425108,Q38,1,List4
P110,27,1,0.31844623756802404,0.5995977165756283,Q39,1,List4
P110,29,1,0.18785719587322794,0.4482898064057515,Q41,1,List4
P110,30,1,0.2897336330812726,0.5683819539959744,Q42,1,List4
P110,31,1,0.5215139021038164,0.8069187094821709,Q43,1,List4
P110,32,1,0.2,0.4636476090008061,Q45,1,List4
P110,32,1,0.2,0.4636476090008061,Q44,1,List4
P110,33,1,0.07171404871427495,0.2711034929229225,Q47,0,List4
P110,33,1,0.07171404871427495,0.2711034929229225,Q46,0,List4
P110,34,1,0.26787077079623506,0.5439995687840411,Q48,1,List4
P110,35,1,0.5094933153578249,0.7948920492254248,Q50,1,List4
P110,35,1,0.5094933153578249,0.7948920492254248,Q49,1,List4
P110,36,1,0.38956692913385826,0.674046935992886,Q51,1,List4
P110,37,1,0.3589717843156943,0.6424297151694502,Q52,1,List4
P110,38,1,0.14888056450910359,0.3961294733853073,Q53,1,List4
P110,39,1,0.537418094033797,0.8228512721397058,Q54,1,List4
P110,40,1,0.14978172512419088,0.39739367748728277,Q55,1,List4
P110,41,1,0.18560411311053984,0.44539896733430545,Q56,1,List4
P110,41,1,0.18560411311053984,0.44539896733430545,Q58,1,List4
P110,41,1,0.18560411311053984,0.44539896733430545,Q57,0,List4
P110,42,1,0.12367857389622054,0.35936476379234444,Q60,1,List4
P110,42,1,0.12367857389622054,0.35936476379234444,Q59,1,List4
P110,43,0,0.12009162303664922,0.3538825578615104,Q61,1,List4
P110,44,0,0.10568475452196383,0.33110892298059563,Q62,1,List4
P110,44,0,0.10568475452196383,0.33110892298059563,Q63,1,List4
P110,45,0,0.10736217484302767,0.33382755753519383,Q64,1,List4
P110,46,0,0.31882070620500513,0.5999995530694616,Q65,1,List4
P110,47,0,0.32323232323232326,0.6047242426219628,Q66,0,List4
P110,48,0,0.15437030075187969,0.4037829344603086,Q68,1,List4
P110,48,0,0.15437030075187969,0.4037829344603086,Q67,1,List4
P110,49,0,0.4344483409765309,0.7196572523663982,Q69,1,List4
P110,50,0,0.17336572438162545,0.4294514190871718,Q71,1,List4
P110,50,0,0.17336572438162545,0.4294514190871718,Q70,1,List4
P110,51,0,0.19981612013484523,0.4634177195243852,Q73,0,List4
P110,51,0,0.19981612013484523,0.4634177195243852,Q74,1,List4
P110,51,0,0.19981612013484523,0.4634177195243852,Q72,1,List4
P110,52,0,0.19178834120101,0.4533020268805414,Q75,1,List4
P110,53,0,0.18722222222222223,0.44747645512024486,Q76,1,List4
P110,54,0,0.07181075753308927,0.27129084479736537,Q77,0,List4
P110,54,0,0.07181075753308927,0.27129084479736537,Q78,1,List4
P110,55,0,0.1894984493637044,0.45038724612837777,Q79,1,List4
P110,56,0,0.1169476869865975,0.3490190337948806,Q80,1,List4
P110,57,0,0.17976,0.4378366017365999,Q81,1,List4
P110,57,0,0.17976,0.4378366017365999,Q82,1,List4
P110,58,0,0.2280752532561505,0.4978894032554149,Q83,1,List4
P110,59,0,0.12855398569684284,0.3667080028077634,Q84,1,List4
P110,60,0,0.09026350214913101,0.30515272634729457,Q85,0,List4
P110,61,0,0.20587684821261465,0.47095389364478407,Q86,1,List4
P110,62,0,0.3975838197366635,0.6822519467614093,Q88,1,List4
P110,62,0,0.3975838197366635,0.6822519467614093,Q87,1,List4
P110,63,0,0.25344192359899165,0.5275641299701379,Q89,1,List4
P110,63,0,0.25344192359899165,0.5275641299701379,Q90,1,List4
P111,1,0,0.22483985388321245,0.49402426629305646,Q1,1,List5
P111,1,0,0.22483985388321245,0.49402426629305646,Q2,0,List5
P111,10,0,0.13489550348321722,0.37608426683507284,Q16,1,List5
P111,11,0,0.1599370739381227,0.41143101678213023,Q17,1,List5
P111,12,0,0.09332269826800364,0.310450508797385,Q18,1,List5
P111,13,0,0.28645690834473325,0.5647642541612337,Q20,1,List5
P111,13,0,0.28645690834473325,0.5647642541612337,Q19,1,List5
P111,14,0,0.13774028488452497,0.38022970980877313,Q22,1,List5
P111,14,0,0.13774028488452497,0.38022970980877313,Q21,1,List5
P111,15,0,0.0812926718252162,0.28913026391747354,Q23,1,List5
P111,16,0,0.1609815523842673,0.4128538915265113,Q24,0,List5
P111,17,0,0.32728842832469773,0.6090533408364784,Q25,1,List5
